rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C21H32O3	[M - H2O + H]+	C21H30O2	0.9999999999999999	107.13849650010324	107.13849650010324	0.0	20	0.5231979030144166	-3.323226199331343	4.579423730059529	-57134.109955824504	
1	C21H30O2	[M + H]+	C21H30O2	0.9999999999999999	107.13849650010324	107.13849650010324	0.0	19	0.5231979030144166	-3.323226199331343	4.579423730059529	0.2194332295184095	
2	C14H34N3OS	[M + Na]+	C14H34N3OS	0.0	105.65041812920234	105.65041812920234	0.0	32	0.748885976408912	-0.3706121062798819	6.476543779282116	1.4161521183347174	
3	C19H32O2	[M + Na]+	C19H32O2	0.0	103.79987317958236	103.79987317958236	0.0	22	0.5857142857142857	-2.2760106904610105	4.472559116384512	7.85091913856302	
4	C16H32N3OS	[M + H]+	C16H32N3OS	0.0	98.48057477962188	98.48057477962188	0.0	27	0.6712975098296198	-2.4090094106666777	5.5112807870259175	-6.21533379052957	
4	C16H34N3O2S	[M - H2O + H]+	C16H32N3OS	0.0	98.48057477962188	98.48057477962188	0.0	28	0.6712975098296198	-2.4090094106666777	5.5112807870259175	-57140.544722844905	
5	C19H30N3O2	[M - H2O + H]+	C19H28N3O	0.0	89.43334184166329	89.43334184166329	0.0	21	0.5309305373525557	-3.1527192179056396	4.686288343734545	-57129.85060297996	
5	C19H28N3O	[M + H]+	C19H28N3O	0.0	89.43334184166329	89.43334184166329	0.0	20	0.5309305373525557	-3.1527192179056396	4.686288343734545	4.478786074241536	
6	C19H34N	[M + K]+	C19H34N	0.0	82.6413505753764	82.6413505753764	0.0	19	0.5231979030144167	-3.323226199331343	4.579423730059529	-1.133653070052465	
