rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C18H30O3	[M + Na]+	C18H30O3	0.9999999999999999	73.33113376571801	73.33113376571801	0.0	33	0.8112036926028051	2.1670623079043243	4.248699721049735	2.814048943447917	
2	C16H28N3O2	[M + Na]+	C16H28N3O2	0.0	55.901704546001575	55.901704546001575	0.0	27	0.7532070495144465	0.4163625289197776	4.2353066787730835	7.046846328510772	
3	C13H32N3O2S	[M + Na]+	C13H32N3O2S	0.0	46.306762968828146	46.306762968828146	0.0	29	0.776046037645366	0.4163625289197776	4.2353066787730835	-3.580599729908156	
4	C21H28N	[M + Na]+	C21H28N	0.0	42.90998122121811	42.90998122121811	0.0	23	0.7134636134756024	0.4163625289197776	4.381712488355859	-5.634862852016792	
