rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C17H38N3O8	[M + Na]+	C17H38N3O8	0.9999999999999999	120.62221475944929	116.50042201945809	4.1217927399912115	36	0.657405110394443	1.1876986248519539	5.097866683272376	5.348335661870717	
2	C22H38NO6	[M + Na]+	C22H38NO6	0.0	105.33201753162957	105.33201753162957	0.0	34	0.6167204167700322	0.6647275290467973	5.827795615458163	-3.8939187870895657	
3	C19H40O9	[M + Na]+	C19H40O9	0.0	84.42663489081048	80.62122879809779	3.8054060927126914	26	0.4800297692880178	0.4762379088578226	6.498523163275438	2.2635314049358968	
