rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C20H30O4	[M + Na]+	C20H30O4	0.9999999999999999	72.5501187008045	72.5501187008045	0.0	28	0.6317140323860189	3.88187594657173	6.041301277094654	2.0693270593149538	
2	C17H34O4S	[M + Na]+	C17H34O4S	0.0	59.064343729289746	59.064343729289746	0.0	38	0.8223435531289373	-0.041611111678246715	5.416434046743603	-7.368205875836919	
3	C15H32N3O3S	[M + Na]+	C15H32N3O3S	0.0	54.18893554461076	54.18893554461076	0.0	33	0.7788510896448735	1.3836339302537555	5.852474857392596	-3.6093380810942888	
4	C18H28N3O3	[M + Na]+	C18H28N3O3	0.0	50.210410204036954	50.210410204036954	0.0	33	0.6809463810723784	4.054313843249539	6.647229283970134	5.828194854216719	
5	C23H28NO	[M + Na]+	C23H28NO	0.0	46.55638098778355	46.55638098778355	0.0	27	0.6178543095804749	4.054313843249539	6.230127696796711	-5.433593482072655	
