rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C24H52N3O13	[M + Na]+	C24H52N3O13	0.9994974874371858	88.98531570480009	82.87907373291402	6.106241971886069	30	0.656126984126984	3.872443116571005	4.1494026545774245	3.4394740701367987	
2	C29H52NO11	[M + Na]+	C29H52NO11	5.025125628140704E-4	78.60804174493116	74.17999428543227	4.428047459498882	27	0.595174603174603	-2.644883090468547	5.159187788925066	-3.1192880930407214	
3	C26H54O14	[M + Na]+	C26H54O14	0.0	80.93074867949746	74.44421808078484	6.486530598712622	22	0.5069206349206348	2.7146203743375508	3.8771805502041206	1.2503439664919271	
