rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C13H24O8	[M + Na]+	C13H24O8	0.8628140703517588	35.57807309965676	30.117075537177886	5.460997562478876	11	0.23971797884841367	7.3603210017358425	7.3603210017358425	0.7397044973844018	
2	C16H22NO5	[M + Na]+	C16H22NO5	0.13366834170854272	33.25636441907682	31.614670902004622	1.6416935170721965	18	0.354876615746181	0.33006833782314116	4.370832133108731	-7.353862129124118	
3	C11H22N3O7	[M + Na]+	C11H22N3O7	0.0035175879396984926	29.20723654395238	24.629208615287048	4.578027928665334	14	0.28131609870740315	3.1320869890105163	6.718501313747851	4.794478471298315	
