rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C12H18N3O8	[M + Na]+	C12H18N3O8	0.8723618090452262	40.88999935076802	35.72294160542364	5.167057745344377	14	0.4031587697423108	-0.9082881516437277	4.509770253036941	4.561993245070972	
2	C14H20O9	[M + Na]+	C14H20O9	0.12763819095477386	38.9988643003187	32.91823592618314	6.080628374135567	8	0.2456359102244389	0.18040569800251302	3.395212998167133	0.7808523563474384	
3	C17H18NO6	[M + Na]+	C17H18NO6	0.0	26.885960340538375	23.730402408586997	3.155557931951377	10	0.29717373233582706	-0.9082881516437277	4.757104467040854	-6.766526586418972	
