rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
19	C19H26O2	[M + Na]+	C19H26O2	0.9999999999999999	140.20109865652992	140.20109865652992	0.0	48	0.933931789305852	1.1044147100282442	3.064978611934702	2.475569390365343		309.18327	834.7606444358826	698_mz3_iin_sirius_821
20	C30H44O2	[M + H]+	C30H44O2	0.9999999999999999	139.50410477993782	139.50410477993782	0.0	50	0.9206216542180654	1.2322594385334809	3.134106636163312	-41180.35074874687		437.34207	1251.8507480621338	1409_mz3_iin_sirius_1812
21	C19H24O2	[M + H]+	C19H24O2	0.9999999999999999	139.42747748430853	139.42747748430853	0.0	42	0.9002926075194609	2.339651189790856	5.144288422853059	-63151.86679615334		285.18548	720.8540153503418	546_mz3_iin_sirius_603
22	C20H26O5	[M + H]+	C20H26O5	0.9999999999999999	139.0521833842768	135.4874814792214	3.5647019050553905	38	0.6676235549693539	1.9630843736390124	5.014666852555202	0.7593767737384317		347.18556	341.98699951171875	292_mz3_iin_sirius_323
23	C20H30O2	[M + H]+	C20H30O2	0.9999999999999999	138.95898797622698	138.95898797622698	0.0	45	0.9052724613587818	1.8096508839957814	2.551485906388818	2.6349865919401525		303.23266	818.851794549264	681_mz3_iin_sirius_787
24	C30H22O11	[M + H]+	C30H22O11	0.9999999999999999	138.2132334977284	138.2132334977284	0.0	50	0.912569964120964	0.5585794003564787	2.423417596348309	1.1665133033783945		559.12414	312.8610072250229	255_mz3_iin_sirius_284
25	C30H22O10	[M + H]+	C30H22O10	0.9999999999999999	135.88406366148357	135.88406366148357	0.0	44	0.8863692380353864	1.6905015878495346	2.4974876756759814	1.6509706646856122		543.12947	358.87101930902304	305_mz3_iin_sirius_336
26	C18H32O3	[M + Na]+	C18H32O3	0.9999999999999999	135.5881108866751	135.5881108866751	0.0	53	0.9759637008228166	3.615707053543347	4.813558504897883	1.650669906628122		319.22489	998.2829824037617	945_mz3_iin_sirius_1117
27	C18H24O3	[M + H]+	C18H24O3	0.9999999999999999	135.41527049163284	135.41527049163284	0.0	40	0.8951518085621414	-0.8174340752830823	3.7512192336176606	-62280.883822429874		289.18000	714.2590141296387	537_mz3_iin_sirius_592
28	C20H26O2	[M + Na]+	C20H26O2	0.9999999999999999	134.43743986586503	134.43743986586503	0.0	31	0.6680122494432069	2.04316406068558	4.912118030590285	0.5582598983612457		321.18268	922.7079963684082	842_mz3_iin_sirius_1005
29	C19H28O2	[M + H]+	C19H28O2	0.9999999999999999	134.29836200045418	134.29836200045418	0.0	40	0.8582982226742217	1.9390867527771138	2.839052744278599	1.0041532426233843		289.21650	871.5999984741211	762_mz3_iin_sirius_909
30	C30H22O12	[M + H]+	C30H22O12	0.9999999999999999	133.70614575683842	133.70614575683842	0.0	51	0.8981018066406252	0.521028264924859	4.6647243241424405	-31314.685660662763		575.11929	294.7010135650635	230_mz3_iin_sirius_257
31	C20H26O4	[M + H]+	C20H26O4	0.9999999999999999	133.37010346064207	129.77103908805606	3.5990643725860068	26	0.5381630012936611	0.6468659119005362	6.546366723423044	-54381.674329518944		331.19027	779.3187367916107	635_mz3_iin_sirius_711
32	C30H44O2	[M + H]+	C30H44O2	0.9999999999999999	131.5262256004632	131.5262256004632	0.0	44	0.9335871086168244	1.204735357238546	1.910394909478135	-82361.80346860041		437.34224	963.7044811248779	893_mz3_iin_sirius_1060
33	C20H28O2	[M + H]+	C20H28O2	0.9999999999999999	131.00725231700395	131.00725231700395	0.0	44	0.9117002121476834	1.6176567877041663	2.6340210195828893	-59790.09456566658		301.21698	845.1279830932617	720_mz3_iin_sirius_849
34	C20H28O3	[M + H]+	C20H28O3	0.9999999999999999	130.000511353581	130.000511353581	0.0	41	0.900807115187264	0.4382658318115528	3.599208799087457	2.1623100924091077		317.21181	847.3366390364185	729_mz3_iin_sirius_867
35	C20H24O3	[M + H]+	C20H24O3	0.9999999999999999	129.70261529858308	129.70261529858308	0.0	40	0.8839241024707648	1.2779691361275227	4.285265049672661	-57506.64882383521		313.18043	788.2669830322266	646_mz3_iin_sirius_722
36	C20H32O3	[M - H2O + H]+	C20H30O2	0.9999999999999999	129.36744125934786	129.36744125934786	0.0	24	0.6471844304801412	5.239678103863246	6.905516429775845	-59392.442208040324		303.23269	649.8739814758301	462_mz3_iin_sirius_504
37	C21H32O4	[M - H4O2 + H]+	C21H28O2	0.9999999999999999	129.0013412787103	129.0013412787103	0.0	39	0.8774660236738278	2.6849701530522414	4.533104711280091	-115001.95058934405		313.21679	856.4547143876553	760_mz3_iin_sirius_906
38	C30H42O2	[M + H]+	C30H42O2	0.9999999999999999	128.23515823094385	128.23515823094385	0.0	44	0.9136973275948349	1.9095389582640045	3.5008211573786854	-82743.79287152305		435.32633	1008.6259460449219	961_mz3_iin_sirius_1135
39	C19H30O7	[M + Na]+	C19H30O7	0.9999999999999999	127.89352003199875	122.05155549452851	5.841964537470231	28	0.49266476899496375	3.3421627444044377	4.898410663608399	1.4978269568195794		393.18896	284.4360065460205	209_mz3_iin_sirius_236
40	C20H30O4	[M - H2O + H]+	C20H28O3	0.9999999999999999	127.13673344125773	127.13673344125773	0.0	42	0.9022424667133849	1.0521555097285087	3.4393771027544426	-56775.3391553096		317.21187	872.5099754333496	765_mz3_iin_sirius_917
41	C17H30O4	[M + Na]+	C17H30O4	0.9999999999999999	126.48101821220037	122.48482963807636	3.996188574124009	27	0.6069594474942447	2.2900400647415755	4.840840490873633	1.4106987379098392		321.20408	572.2073258296587	402_mz3_iin_sirius_443
42	C20H28O4	[M - H2O + H]+	C20H26O3	0.9999999999999999	126.28199783728516	126.28199783728516	0.0	43	0.8824243896514029	0.9005357345305562	3.1235134830966658	-57138.48547186261		315.19620	745.0760078430176	573_mz3_iin_sirius_634
43	C29H44O2	[M + H]+	C29H44O2	0.9999999999999999	123.9008476138993	123.9008476138993	0.0	31	0.6577079697498546	1.1844947084353998	2.465180350689205	-0.04177079472378135		425.34139	987.6739883422852	928_mz3_iin_sirius_1098
44	C23H18O10	[M + H]+	C23H18O10	0.9999999999999999	123.84597140912965	120.02508104448047	3.8208903646491685	40	0.818026934934285	1.4828299621360475	5.180655370616522	1.029110178959379		455.09774	268.00100326538086	177_mz3_iin_sirius_200
45	C30H22O12	[M + H]+	C30H22O12	0.9999999999999999	123.7572295274514	123.7572295274514	0.0	51	0.9167384320962338	2.128132485352988	3.1898441369386505	-31315.900642107106		575.11861	242.51601219177246	143_mz3_iin_sirius_165
46	C19H24O2	[M + H]+	C19H24O2	0.9999999999999999	123.6749959042958	120.5296922241582	3.1453036801376064	24	0.5912662975531345	0.9754160432826102	6.942723041110426	-126307.19686711696		285.18510	484.43899154663086	352_mz3_iin_sirius_387
47	C29H48O2	[M + H]+	C29H48O2	0.9999999999999999	123.37682084271172	123.37682084271172	0.0	47	0.9242498712034629	1.286751113997687	3.1104454838182987	0.9953770046257613		429.37313	1344.5339584350586	1597_mz3_iin_sirius_2139
48	C19H24O2	[M + Na]+	C19H24O2	0.9999999999999999	123.24017255079774	123.24017255079774	0.0	37	0.8225521554399207	0.9552328926975808	4.022964688437453	2.0650258447059637		307.16749	748.7089920043945	578_mz3_iin_sirius_641
49	C18H26N3O4	[M + H]+	C18H26N3O4	0.9999999999999999	123.18735215873508	121.26731324728343	1.920038911451654	32	0.6819389110225762	2.028419967311021	4.433941106675414	5.173717962898906		349.20141	632.1370124816895	444_mz3_iin_sirius_486
50	C29H44O4	[M + H]+	C29H44O4	0.9999999999999999	122.5867098778883	121.18424135410314	1.4024685237851608	31	0.6043659043659044	4.028654238832817	5.066637218409242	-78762.39681100866		457.33182	1147.1680068969727	1198_mz3_iin_sirius_1420
