rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C18H30N3O2	[M + Na]+	C18H30N3O2	0.936683417085427	99.65357547594401	97.4252248193585	2.228350656585501	28	0.5769498607242344	1.6704726850907226	4.70535121679938	7.112479377386318	
2	C20H32O3	[M + Na]+	C20H32O3	0.06331658291457287	91.07511814669908	88.06363985889467	3.011478287804401	20	0.48589832869080807	1.6704726850907226	4.663593992394693	3.200520212194596	
3	C23H30N	[M + Na]+	C23H30N	0.0	81.58096428223422	80.18537807915544	1.3955862030787851	19	0.47667130919220085	1.8912613214998413	4.600336126196279	-4.6079796821781684	
